55,Caulfield - North,1.49230153898804e-06,1
56,Caulfield - South,1.49230153898804e-06,1
57,Chelsea - Bonbeach,1.49230153898804e-06,1
58,Chelsea Heights,1.49230153898804e-06,1
59,Cheltenham - Highett (East),1.49230153898804e-06,1
60,Cheltenham - Highett (West),1.49230153898804e-06,1
61,Chirnside Park,1.49230153898804e-06,1
62,Clarinda - Oakleigh South,1.49230153898804e-06,1
63,Clayton,1.49230153898804e-06,1
64,Clayton South,1.49230153898804e-06,1
65,Coburg,1.49230153898804e-06,1
66,Coburg North,1.49230153898804e-06,1
67,Collingwood,1.49230153898804e-06,1
68,Craigieburn - Mickleham,1.49230153898804e-06,1
69,Cranbourne,1.49230153898804e-06,1
70,Cranbourne East,1.49230153898804e-06,1
71,Cranbourne North,1.49230153898804e-06,1
72,Cranbourne South,1.49230153898804e-06,1
73,Cranbourne West,1.49230153898804e-06,1
74,Croydon,1.49230153898804e-06,1
75,Croydon Hills - Warranwood,1.49230153898804e-06,1
76,Dandenong,1.49230153898804e-06,1
77,Dandenong North,1.49230153898804e-06,1
78,Deer Park - Derrimut,1.49230153898804e-06,1
79,Delahey,1.49230153898804e-06,1
80,Dingley Village,1.49230153898804e-06,1
81,Docklands,1.49230153898804e-06,1
82,Doncaster,1.49230153898804e-06,1
83,Doncaster East,1.49230153898804e-06,1
84,Donvale - Park Orchards,1.49230153898804e-06,1
85,Doveton,1.49230153898804e-06,1
86,Dromana,1.49230153898804e-06,1
87,East Melbourne,1.49230153898804e-06,1
88,Edithvale - Aspendale,1.49230153898804e-06,1
89,Elsternwick,1.49230153898804e-06,1
90,Eltham,1.49230153898804e-06,1
91,Elwood,1.49230153898804e-06,1
92,Emerald - Cockatoo,1.49230153898804e-06,1
93,Endeavour Hills,1.49230153898804e-06,1
94,Epping,1.49230153898804e-06,1
95,Essendon - Aberfeldie,1.49230153898804e-06,1
96,Fawkner,1.49230153898804e-06,1
97,Ferntree Gully,1.49230153898804e-06,1
98,Fitzroy,1.49230153898804e-06,1
99,Fitzroy North,1.49230153898804e-06,1
100,Flemington,1.49230153898804e-06,1
101,Flemington Racecourse,1.49230153898804e-06,1
102,Flinders,1.49230153898804e-06,1
103,Footscray,1.49230153898804e-06,1
104,Forest Hill,1.49230153898804e-06,1
105,Frankston,1.49230153898804e-06,1
106,Frankston North,1.49230153898804e-06,1
107,Frankston South,1.49230153898804e-06,1
108,Gisborne,1.49230153898804e-06,1
109,Gladstone Park - Westmeadows,1.49230153898804e-06,1
110,Glen Iris - East,1.49230153898804e-06,1
111,Glenroy - Hadfield,1.49230153898804e-06,1
112,Glen Waverley - East,1.49230153898804e-06,1
113,Glen Waverley - West,1.49230153898804e-06,1
114,Greensborough,1.49230153898804e-06,1
115,Greenvale - Bulla,1.49230153898804e-06,1
116,Hallam,1.49230153898804e-06,1
117,Hampton,1.49230153898804e-06,1
118,Hampton Park - Lynbrook,1.49230153898804e-06,1
119,Hastings - Somers,1.49230153898804e-06,1
120,Hawthorn,1.49230153898804e-06,1
121,Hawthorn East,1.49230153898804e-06,1
122,Healesville - Yarra Glen,1.49230153898804e-06,1
123,Heidelberg - Rosanna,1.49230153898804e-06,1
124,Heidelberg West,1.49230153898804e-06,1
125,Hillside,1.49230153898804e-06,1
126,Hoppers Crossing - North,1.49230153898804e-06,1
127,Hoppers Crossing - South,1.49230153898804e-06,1
128,Hughesdale,1.49230153898804e-06,1
129,Hurstbridge,1.49230153898804e-06,1
130,Ivanhoe,1.49230153898804e-06,1
131,Ivanhoe East - Eaglemont,1.49230153898804e-06,1
132,Keilor,1.49230153898804e-06,1
133,Keilor Downs,1.49230153898804e-06,1
134,Keilor East,1.49230153898804e-06,1
135,Kensington,1.49230153898804e-06,1
136,Kew,1.49230153898804e-06,1
137,Kew East,1.49230153898804e-06,1
138,Keysborough,1.49230153898804e-06,1
139,Kilsyth,1.49230153898804e-06,1
140,Kinglake,1.49230153898804e-06,1
141,Kingsbury,1.49230153898804e-06,1
142,Kings Park (Vic.),1.49230153898804e-06,1
143,Knoxfield - Scoresby,1.49230153898804e-06,1
144,Koo Wee Rup,1.49230153898804e-06,1
145,Lalor,1.49230153898804e-06,1
146,Langwarrin,1.49230153898804e-06,1
147,Laverton,1.49230153898804e-06,1
148,Lilydale - Coldstream,1.49230153898804e-06,1
149,Lynbrook - Lyndhurst,1.49230153898804e-06,1
150,Lysterfield,1.49230153898804e-06,1
151,Macedon,1.49230153898804e-06,1
152,Malvern East,1.49230153898804e-06,1
153,Malvern - Glen Iris,1.49230153898804e-06,1
154,Maribyrnong,1.49230153898804e-06,1
155,Meadow Heights,1.49230153898804e-06,1
156,Melbourne,1.49230153898804e-06,1
157,Melbourne Airport,1.49230153898804e-06,1
158,Melton,1.49230153898804e-06,1
159,Melton South,1.49230153898804e-06,1
160,Melton West,1.49230153898804e-06,1
161,Mentone,1.49230153898804e-06,1
162,Mill Park - North,1.49230153898804e-06,1
163,Mill Park - South,1.49230153898804e-06,1
164,Mitcham (Vic.),1.49230153898804e-06,1
165,Monbulk - Silvan,1.49230153898804e-06,1
166,Montmorency - Briar Hill,1.49230153898804e-06,1
167,Montrose,1.49230153898804e-06,1
168,Moonee Ponds,1.49230153898804e-06,1
169,Moorabbin - Heatherton,1.49230153898804e-06,1
170,Mooroolbark,1.49230153898804e-06,1
171,Mordialloc - Parkdale,1.49230153898804e-06,1
172,Mornington,1.49230153898804e-06,1
173,Mount Dandenong - Olinda,1.49230153898804e-06,1
174,Mount Eliza,1.49230153898804e-06,1
175,Mount Evelyn,1.49230153898804e-06,1
176,Mount Martha,1.49230153898804e-06,1
177,Mount Waverley - North,1.49230153898804e-06,1
178,Mount Waverley - South,1.49230153898804e-06,1
179,Mulgrave,1.49230153898804e-06,1
180,Murrumbeena,1.49230153898804e-06,1
181,Narre Warren,1.49230153898804e-06,1
182,Narre Warren North,1.49230153898804e-06,1
183,Narre Warren South,1.49230153898804e-06,1
184,Newport,1.49230153898804e-06,1
185,Niddrie - Essendon West,1.49230153898804e-06,1
186,Noble Park,1.49230153898804e-06,1
187,Noble Park North,1.49230153898804e-06,1
188,Northcote,1.49230153898804e-06,1
189,North Melbourne,1.49230153898804e-06,1
190,Nunawading,1.49230153898804e-06,1
191,Oakleigh - Huntingdale,1.49230153898804e-06,1
192,Ormond - Glen Huntly,1.49230153898804e-06,1
193,Pakenham - North,1.49230153898804e-06,1
194,Pakenham - South,1.49230153898804e-06,1
195,Panton Hill - St Andrews,1.49230153898804e-06,1
196,Parkville,1.49230153898804e-06,1
197,Pascoe Vale,1.49230153898804e-06,1
198,Pascoe Vale South,1.49230153898804e-06,1
199,Pearcedale - Tooradin,1.49230153898804e-06,1
200,Plenty - Yarrambat,1.49230153898804e-06,1
201,Point Cook,1.49230153898804e-06,1
202,Point Nepean,1.49230153898804e-06,1
203,Port Melbourne,1.49230153898804e-06,1
204,Port Melbourne Industrial,1.49230153898804e-06,1
205,Prahran - Windsor,1.49230153898804e-06,1
206,Preston,1.49230153898804e-06,1
207,Research - North Warrandyte,1.49230153898804e-06,1
208,Reservoir - East,1.49230153898804e-06,1
209,Reservoir - West,1.49230153898804e-06,1
210,Richmond (Vic.),1.49230153898804e-06,1
211,Riddells Creek,1.49230153898804e-06,1
212,Ringwood,1.49230153898804e-06,1
213,Ringwood East,1.49230153898804e-06,1
214,Ringwood North,1.49230153898804e-06,1
215,Rockbank - Mount Cottrell,1.49230153898804e-06,1
216,Romsey,1.49230153898804e-06,1
217,Rosebud - McCrae,1.49230153898804e-06,1
218,Rowville - Central,1.49230153898804e-06,1
219,Rowville - North,1.49230153898804e-06,1
220,Rowville - South,1.49230153898804e-06,1
221,Roxburgh Park - Somerton,1.49230153898804e-06,1
222,Sandringham - Black Rock,1.49230153898804e-06,1
223,Seabrook,1.49230153898804e-06,1
224,Seaford (Vic.),1.49230153898804e-06,1
225,Seddon - Kingsville,1.49230153898804e-06,1
226,Skye - Sandhurst,1.49230153898804e-06,1
227,Somerville,1.49230153898804e-06,1
228,Southbank,1.49230153898804e-06,1
229,South Melbourne,1.49230153898804e-06,1
230,South Morang,1.49230153898804e-06,1
231,South Yarra - East,1.49230153898804e-06,1
232,South Yarra - West,1.49230153898804e-06,1
233,Springvale,1.49230153898804e-06,1
234,Springvale South,1.49230153898804e-06,1
235,St Albans - North,1.49230153898804e-06,1
236,St Albans - South,1.49230153898804e-06,1
237,St Kilda,1.49230153898804e-06,1
238,St Kilda East,1.49230153898804e-06,1
239,Strathmore,1.49230153898804e-06,1
240,Sunbury,1.49230153898804e-06,1
241,Sunbury - South,1.49230153898804e-06,1
242,Sunshine,1.49230153898804e-06,1
243,Sunshine North,1.49230153898804e-06,1
244,Sunshine West,1.49230153898804e-06,1
245,Surrey Hills (East) - Mont Albert,1.49230153898804e-06,1
246,Surrey Hills (West) - Canterbury,1.49230153898804e-06,1
247,Sydenham,1.49230153898804e-06,1
248,Tarneit,1.49230153898804e-06,1
249,Taylors Hill,1.49230153898804e-06,1
250,Taylors Lakes,1.49230153898804e-06,1
251,Templestowe,1.49230153898804e-06,1
252,Templestowe Lower,1.49230153898804e-06,1
253,Thomastown,1.49230153898804e-06,1
254,Thornbury,1.49230153898804e-06,1
255,Toorak,1.49230153898804e-06,1
256,Truganina,1.49230153898804e-06,1
257,Tullamarine,1.49230153898804e-06,1
258,Upwey - Tecoma,1.49230153898804e-06,1
259,Vermont,1.49230153898804e-06,1
260,Vermont South,1.49230153898804e-06,1
261,Viewbank - Yallambie,1.49230153898804e-06,1
262,Wallan,1.49230153898804e-06,1
263,Wandin - Seville,1.49230153898804e-06,1
264,Wantirna,1.49230153898804e-06,1
265,Wantirna South,1.49230153898804e-06,1
266,Warrandyte - Wonga Park,1.49230153898804e-06,1
267,Watsonia,1.49230153898804e-06,1
268,Wattle Glen - Diamond Creek,1.49230153898804e-06,1
269,Werribee,1.49230153898804e-06,1
270,Werribee - South,1.49230153898804e-06,1
271,West Footscray - Tottenham,1.49230153898804e-06,1
272,Wheelers Hill,1.49230153898804e-06,1
273,Whittlesea,1.49230153898804e-06,1
274,Williamstown,1.49230153898804e-06,1
275,Wyndham Vale,1.49230153898804e-06,1
276,Yarra - North,1.49230153898804e-06,1
277,Yarra Valley,1.49230153898804e-06,1
278,Yarraville,1.49230153898804e-06,1
